레시피구분,레시피명,열량,식재료명,식재료양
면류,들깨버섯수제비국,열량 : 65.5 kcal,간장(죽염국간장),1g
면류,들깨버섯수제비국,열량 : 65.5 kcal,다시마,1g
면류,들깨버섯수제비국,열량 : 65.5 kcal,마늘,1g
무침류,브로콜리햄샐러드,열량 : 112.39 kcal,어육햄,30g
무침류,브로콜리햄샐러드,열량 : 112.39 kcal,브로콜리,20g
무침류,브로콜리햄샐러드,열량 : 112.39 kcal,마요네즈,5g
무침류,브로콜리햄샐러드,열량 : 112.39 kcal,허니머스터드소스,3g
무침류,브로콜리햄샐러드,열량 : 112.39 kcal,참깨가루,2g
무침류,브로콜리햄샐러드,열량 : 112.39 kcal,소금(고운소금),1g
국류,감자옹심이국,열량 : 46.46 kcal,옹심이(감자옹심이),150g
국류,감자옹심이국,열량 : 46.46 kcal,호박(애호박),20g
국류,감자옹심이국,열량 : 46.46 kcal,당근,10g
국류,감자옹심이국,열량 : 46.46 kcal,파(대파),2g
국류,감자옹심이국,열량 : 46.46 kcal,다시마,1g
국류,감자옹심이국,열량 : 46.46 kcal,마늘,0.5g
국류,감자옹심이국,열량 : 46.46 kcal,소금(고운소금),0.3g
국류,미역장국,열량 : 14.85 kcal,된장,5g
국류,미역장국,열량 : 14.85 kcal,미역,2g
국류,미역장국,열량 : 14.85 kcal,파(대파),2g
국류,미역장국,열량 : 14.85 kcal,다시마,1g
국류,미역장국,열량 : 14.85 kcal,마늘,0.5g
밥류,야채볶음밥(소),열량 : 257.47 kcal,멥쌀(백미),50g
밥류,야채볶음밥(소),열량 : 257.47 kcal,피망(청피망),10g
밥류,야채볶음밥(소),열량 : 257.47 kcal,양파,10g
밥류,야채볶음밥(소),열량 : 257.47 kcal,콩기름(대두유),7g
밥류,야채볶음밥(소),열량 : 257.47 kcal,파프리카(주황파프리카),7g
밥류,야채볶음밥(소),열량 : 257.47 kcal,파프리카(적색파프리카),7g
밥류,야채볶음밥(소),열량 : 257.47 kcal,파프리카(노랑파프리카),7g
찜류,청경채양념찜,열량 : 25.8 kcal,청경채,60g
찜류,청경채양념찜,열량 : 25.8 kcal,양파,10g
찜류,청경채양념찜,열량 : 25.8 kcal,고추씨기름,1g
찜류,청경채양념찜,열량 : 25.8 kcal,깨소금,1g
찜류,청경채양념찜,열량 : 25.8 kcal,고추(청양고추),1g
찜류,청경채양념찜,열량 : 25.8 kcal,마늘,1g
찜류,청경채양념찜,열량 : 25.8 kcal,식초(양조식초),0.3g
밥류,나물된장비빔밥,열량 : 299.02 kcal,멥쌀(구분도미),60g
밥류,나물된장비빔밥,열량 : 299.02 kcal,된장,15g
밥류,나물된장비빔밥,열량 : 299.02 kcal,무(조선무),15g
밥류,나물된장비빔밥,열량 : 299.02 kcal,호박(애호박),10g
밥류,나물된장비빔밥,열량 : 299.02 kcal,시금치,10g
밥류,나물된장비빔밥,열량 : 299.02 kcal,고사리,10g
밥류,나물된장비빔밥,열량 : 299.02 kcal,양파,10g
밥류,나물된장비빔밥,열량 : 299.02 kcal,당근,10g
밥류,나물된장비빔밥,열량 : 299.02 kcal,김가루,3g
밥류,나물된장비빔밥,열량 : 299.02 kcal,콩기름(대두유),2g
밥류,나물된장비빔밥,열량 : 299.02 kcal,참기름,2g
밥류,나물된장비빔밥,열량 : 299.02 kcal,깨소금,0.3g
밥류,나물된장비빔밥,열량 : 299.02 kcal,간장(양조간장),0.2g
밥류,나물된장비빔밥,열량 : 299.02 kcal,소금(천일염),0.02g
국류,감자양파국,열량 : 164.66 kcal,감자,150g
국류,감자양파국,열량 : 164.66 kcal,두부,50g
국류,감자양파국,열량 : 164.66 kcal,양파,10g
국류,감자양파국,열량 : 164.66 kcal,파(대파),2g
국류,감자양파국,열량 : 164.66 kcal,간장(재래간장),1g
국류,감자양파국,열량 : 164.66 kcal,들기름,1g
국류,감자양파국,열량 : 164.66 kcal,다시마,1g
국류,감자양파국,열량 : 164.66 kcal,마늘,1g
국류,감자양파국,열량 : 164.66 kcal,후추,0.1g
국류,감자양파국,열량 : 164.66 kcal,소금(천일염),0.1g
부침류,녹두빈대떡,열량 : 219.35 kcal,달걀,40g
부침류,녹두빈대떡,열량 : 219.35 kcal,김치(맛김치),30g
부침류,녹두빈대떡,열량 : 219.35 kcal,찹쌀가루,15g
부침류,녹두빈대떡,열량 : 219.35 kcal,녹두빈대떡가루,10g
부침류,녹두빈대떡,열량 : 219.35 kcal,달걀(전란),10g
부침류,녹두빈대떡,열량 : 219.35 kcal,옥수수기름(옥배유),5g
부침류,녹두빈대떡,열량 : 219.35 kcal,숙주나물,5g
부침류,녹두빈대떡,열량 : 219.35 kcal,고사리,5g
부침류,녹두빈대떡,열량 : 219.35 kcal,소금(고운소금),1g
부침류,녹두빈대떡,열량 : 219.35 kcal,마늘,1g
밥류,스팸김밥,열량 : 441.95 kcal,멥쌀(구분도미),100g
밥류,스팸김밥,열량 : 441.95 kcal,닭가슴살파우치,60g
밥류,스팸김밥,열량 : 441.95 kcal,김,2g
밥류,스팸김밥,열량 : 441.95 kcal,콩기름(대두유),1g
밥류,스팸김밥,열량 : 441.95 kcal,간장(양조간장),0.5g
밥류,스팸김밥,열량 : 441.95 kcal,참기름,0.5g
밥류,스팸김밥,열량 : 441.95 kcal,후리카케,0.4g
밥류,스팸김밥,열량 : 441.95 kcal,소금(천일염),0.3g
밥류,스팸김밥,열량 : 441.95 kcal,설탕(백설탕),0.3g
밥류,스팸김밥,열량 : 441.95 kcal,깨소금,0.3g
구이류,두부함박스테이크,열량 : 359.43 kcal,두부,150g
구이류,두부함박스테이크,열량 : 359.43 kcal,달걀,50g
구이류,두부함박스테이크,열량 : 359.43 kcal,빵가루,20g
구이류,두부함박스테이크,열량 : 359.43 kcal,양파,20g
구이류,두부함박스테이크,열량 : 359.43 kcal,스테이크소스,15g
구이류,두부함박스테이크,열량 : 359.43 kcal,혼합식용유,5g
구이류,두부함박스테이크,열량 : 359.43 kcal,파(대파),2g
구이류,두부함박스테이크,열량 : 359.43 kcal,마늘,2g
구이류,두부함박스테이크,열량 : 359.43 kcal,소금(꽃소금),0.2g
구이류,두부함박스테이크,열량 : 359.43 kcal,밀가루,0.2g
구이류,두부함박스테이크,열량 : 359.43 kcal,후추,0.1g
