식재료명,에너지(kcal),단백질(g),지방(g),탄수화물(g)
"가자미류_기름가자미_수컷,육_생것_포항_7월",93,17.67,1.98,0.0
가자미류_기름가자미_알_생것_포항_평균,104,19.94,0.82,2.99
"가자미류_기름가자미_암컷,알_생것_대표_1월",109,19.78,1.21,3.56
"가자미류_기름가자미_암컷,육_생것_경주_10월",127,16.82,5.98,0.0
"가자미류_기름가자미_암컷,육_생것_경주_7월",115,15.41,5.26,0.0
"가자미류_기름가자미_암컷,육_생것_포항_11월",133,18.45,5.84,0.0
"가자미류_기름가자미_암컷,육_생것_포항_12월",85,18.0,1.01,0.0
"가자미류_기름가자미_암컷,육_생것_포항_1월",129,17.28,5.91,0.0
"가자미류_기름가자미_암컷,육_생것_포항_2월",89,17.8,1.27,0.49
"가자미류_기름가자미_암컷,육_생것_포항_3월",81,16.16,0.98,0.91
"가자미류_기름가자미_암컷,육_생것_포항_4월",94,17.16,2.32,0.02
"가자미류_기름가자미_암컷,육_생것_포항_5월",91,17.31,1.88,0.0
"가자미류_기름가자미_암컷,육_생것_포항_6월",98,16.83,1.78,2.44
"가자미류_기름가자미_암컷,육_생것_포항_8월",144,16.98,7.73,0.0
"가자미류_기름가자미_암컷,육_생것_포항_9월",117,16.59,5.0,0.0
가자미류_기름가자미_육_말린것_부산_5월,114,22.6,0.7,3.1
가자미류_기름가자미_육_생것_강릉_6월,83,18.2,0.4,0.7
가자미류_기름가자미_육_생것_대표_8월,89,17.25,1.73,0.0
가자미류_기름가자미_육_생것_동해EEZ_2월,78,16.02,0.95,0.45
가자미류_기름가자미_육_생것_여수_4월,89,16.23,1.96,0.59
가자미류_기름가자미_육_생것_포항_평균(반건조),98,19.84,1.52,0.0
가자미류_기름가자미_육_찐것_남해_평균,123,25.21,1.8,0.0
가자미류_눈가자미_육_생것_강릉_6월,93,19.4,1.1,0.3
가자미류_돌가자미_육_말린것_부산_5월,107,20.7,1.4,1.4
가자미류_돌가자미_육_생것_인천_7월,90,20.02,0.6,0.0
가자미류_문치가자미_육_생것_여수_4월,87,19.31,0.5,0.28
가자미류_문치가자미_육_생것_여수_6월,93,19.88,0.7,0.52
가자미류_물가자미_육_생것_여수_4월,84,18.74,0.48,0.0
가자미류_범가자미_육_생것_인천_7월,82,18.2,0.2,0.8
가자미류_용가자미_육_생것_대표_평균,86,18.9,0.65,0.15
가자미류_용가자미_육_생것_부산_5월,82,18.1,0.6,0.1
가자미류_용가자미_육_생것_인천_7월,91,19.7,0.7,0.2
가자미류_줄가자미_육_생것_부산_5월,76,17.39,0.2,0.21
가자미류_줄가자미_육_생것_여수_4월,123,19.69,4.07,0.44
가자미류_참가자미_알_생것_포항_평균,152,27.6,2.49,2.86
가자미류_참가자미_육_구운것_대표_평균,150,31.35,1.83,0.2
가자미류_참가자미_육_생것_강릉_6월,85,19.4,0.2,0.4
가자미류_참가자미_육_생것_포항_평균,110,19.13,2.88,0.5
가자미류_참가자미_육_식해(수산물에 약간의 소금과 밥을 섞어 숙성한것)_거제_6월,120,13.8,2.4,9.6
가자미류_참가자미_육_찐것_대표_평균,171,30.65,3.38,2.36
"가자미류_홍가자미_수컷,육_생것_대표_3월",105,19.36,2.4,0.22
가자미류_홍가자미_알_생것_대표_3월,70,11.78,1.5,1.54
"가자미류_홍가자미_암컷,육_생것_대표_3월",98,17.36,2.08,1.24
가자미류_홍가자미_육_생것_여수_4월,108,19.17,2.89,0.0
가재류_가시발새우_육_생것_대표_평균,83,18.63,0.45,0.0
가재류_가시발새우_육_생것_부산_5월,71,15.2,0.5,0.6
가재류_가재_육_생것_부산_10월,126,15.5,5.1,3.0
가재류_닭새우_육_생것_부산_5월,88,17.0,1.2,1.3
가재류_바닷가재_육_생것_대표_평균,85,15.97,0.95,0.0
가재류_바닷가재_육_찐것_대표_평균,91,16.77,1.2,0.0
가재류_펄닭새우_육_생것_부산_5월,61,13.2,0.6,0.0
각시수랑_육_생것_부산_5월,70,15.0,0.3,0.92
갈래곰보_갈래곰보_줄기_생것_대표_평균,12,0.9,0.2,4.6
"갈치류_갈치(24cm미만)_수컷,육_생것_대표_10월",134,18.83,5.76,0.0
"갈치류_갈치(24cm미만)_수컷,육_생것_대표_11월",104,18.56,2.68,0.0
"갈치류_갈치(24cm미만)_수컷,육_생것_대표_12월",101,19.42,2.07,0.0
"갈치류_갈치(24cm미만)_수컷,육_생것_대표_2월",145,18.04,7.37,0.0
"갈치류_갈치(24cm미만)_수컷,육_생것_대표_3월",135,18.52,6.02,0.0
"갈치류_갈치(24cm미만)_수컷,육_생것_대표_4월",143,18.15,7.01,0.0
"갈치류_갈치(24cm미만)_수컷,육_생것_대표_5월",124,18.94,4.71,0.0
"갈치류_갈치(24cm미만)_수컷,육_생것_대표_6월",121,18.42,4.57,0.0
"갈치류_갈치(24cm미만)_수컷,육_생것_대표_7월",138,18.21,6.46,0.0
"갈치류_갈치(24cm미만)_수컷,육_생것_대표_8월",85,18.4,0.78,0.0
"갈치류_갈치(24cm미만)_수컷,육_생것_대표_9월",93,18.83,1.47,0.0
"갈치류_갈치(24cm이상)_암컷,육_생것_대표_10월",111,18.85,3.29,0.0
"갈치류_갈치(24cm이상)_암컷,육_생것_대표_11월",89,18.44,1.17,0.0
"갈치류_갈치(24cm이상)_암컷,육_생것_대표_12월",97,19.42,1.63,0.0
"갈치류_갈치(24cm이상)_암컷,육_생것_대표_2월",133,18.9,5.63,0.0
"갈치류_갈치(24cm이상)_암컷,육_생것_대표_3월",126,18.31,5.22,0.0
"갈치류_갈치(24cm이상)_암컷,육_생것_대표_4월",135,18.83,5.88,0.0
"갈치류_갈치(24cm이상)_암컷,육_생것_대표_5월",143,18.31,6.98,0.0
"갈치류_갈치(24cm이상)_암컷,육_생것_대표_6월",114,19.42,3.38,0.0
"갈치류_갈치(24cm이상)_암컷,육_생것_대표_7월",128,17.96,5.38,0.36
"갈치류_갈치(24cm이상)_암컷,육_생것_대표_8월",94,18.77,1.58,0.0
"갈치류_갈치(24cm이상)_암컷,육_생것_대표_9월",101,19.41,2.01,0.0
갈치류_갈치_내장_젓갈(속젓갈)_진주_6월,195,8.4,3.6,32.4
"갈치류_갈치_수컷,육_생것_대표_10월",111,18.83,3.34,0.0
"갈치류_갈치_수컷,육_생것_대표_11월",101,19.1,2.18,0.0
"갈치류_갈치_수컷,육_생것_대표_12월",115,19.6,3.38,0.0
"갈치류_갈치_수컷,육_생것_대표_2월",189,18.19,11.78,0.36
"갈치류_갈치_수컷,육_생것_대표_3월",149,18.44,7.54,0.13
