식품명,식재료코드
호밀/일반,1021020002
호밀/친환경,1021020003
호밀/GAP,1021020004
혼합10곡,1021030001
혼합11곡,1021040001
혼합12곡,1021050001
혼합13곡,1021060001
혼합14곡,1021070001
혼합15곡,1021080001
혼합16곡,1021090001
혼합17곡,1021100001
혼합18곡,1021110001
혼합19곡,1021120001
혼합20곡,1021130001
혼합2곡,1021140001
혼합3곡,1021150001
혼합4곡,1021160001
혼합5곡,1021170001
혼합6곡,1021180001
혼합7곡,1021190001
혼합8곡,1021200001
혼합9곡,1021210001
혼합잡곡,1021220001
혼합잡곡/일반,1021220002
혼합잡곡/친환경,1021220003
혼합잡곡/GAP,1021220004
감(갑주백묵),1030010001
감(건시),1030020001
감(곶감),1030030001
감(곶감)/외국산,1030030002
감(곶감)/반건조,1030030003
감(곶감)/절단된것,1030030004
감(단감),1030040001
감(단감)/일반,1030040002
감(단감)/친환경,1030040003
감(단감)/GAP,1030040004
감(단감)/껍질제거(깐것),1030040005
감(말랭이),1030050001
감(말랭이)/일반,1030050002
감(말랭이)/친환경,1030050003
감(말랭이)/GAP,1030050004
감(반건시),1030060001
감(연시),1030070001
감(연시)/일반,1030070002
감(연시)/친환경,1030070003
감(연시)/GAP,1030070004
감(연시)/말린것(건조),1030070005
감(침지),1030080001
"감(홍시, 대봉시)",1030090001
감귤(금귤),1030100001
감귤(금귤)/외국산,1030100002
감귤(금귤)/일반,1030100003
감귤(금귤)/친환경,1030100004
감귤(금귤)/GAP,1030100005
감귤(밀감),1030110001
감귤(밀감)/일반,1030110002
감귤(밀감)/친환경,1030110003
감귤(밀감)/GAP,1030110004
감귤(밀감)/말린것(건조),1030110005
감귤(임온주),1030120001
감귤(임온주)/일반,1030120002
감귤(임온주)/친환경,1030120003
감귤(임온주)/GAP,1030120004
감귤(조생),1030130001
구아바,1030140001
귤(레드향),1030150001
귤(레드향)/일반,1030150002
귤(레드향)/친환경,1030150003
귤(레드향)/GAP,1030150004
귤(진지향),1030160001
귤(진지향)/일반,1030160002
귤(진지향)/친환경,1030160003
귤(진지향)/GAP,1030160004
귤(천혜향),1030170001
귤(천혜향)/일반,1030170002
귤(천혜향)/친환경,1030170003
귤(천혜향)/GAP,1030170004
귤(청견),1030180001
귤(청견)/일반,1030180002
귤(청견)/친환경,1030180003
