식재료명,에너지(kcal),단백질(g),지방(g),탄수화물(g)
조_메조+단아메_도정_생것,372,13.45,4.17,69.16
조_메조+삼다메_도정_생것,372,10.78,3.74,72.57
조_메조+조황메_도정_생것,373,11.33,4.0,71.68
조_차조+경관1호_도정_생것,376,10.74,3.82,73.5
조_차조+경관2호_도정_생것,375,12.83,4.37,70.03
조_차조+삼다찰_도정_생것,369,12.07,3.86,70.39
조_차조+황미찰_도정_생것,371,9.28,3.38,74.54
찹쌀_백미_생것,363,6.64,0.99,78.17
찹쌀_백미_분말화한것,377,7.56,0.98,80.62
찹쌀_현미_생것,356,7.28,2.29,75.52
찹쌀_흑미_생것,362,7.83,2.75,75.66
찹쌀_화선찰벼_백미_생것,375,9.5,2.6,75.2
찹쌀_동진찰벼_백미_생것,363,6.64,1.04,78.11
찹쌀_동진찰벼_현미_생것,357,7.14,2.18,76.22
찹쌀_백옥찰_백미_생것,365,6.77,1.12,78.23
찹쌀_백옥찰_현미_생것,358,7.47,2.38,75.65
찹쌀_백진주_백미_생것,365,6.77,1.12,78.23
찹쌀_백진주_현미_생것,358,7.38,2.39,75.82
찹쌀_보람찰_백미_생것,359,6.63,0.76,77.68
찹쌀_보람찰_현미_생것,350,7.11,2.21,74.39
찹쌀_눈큰흑찰1호_흑미_생것,360,8.19,2.69,75.08
찹쌀_조생흑찰_흑미_생것,363,7.47,2.8,76.23
찹쌀 국수_흑미찰국수_말린것,334,8.1,0.3,74.6
피_IEC525(NO.5)_도정_생것,376,8.5,4.6,73.9
호밀_분말화한것,365,9.4,1.82,78.16
호밀_통호밀_생것,334,15.9,1.5,70.7
퀴노아_쪄서 말린것,363,9.56,3.26,72.62
잡곡_현미+찹쌀+현미찹쌀+보리 등_생것,358,9.79,2.09,73.4
아마란스_노란색_말린것,383,17.09,5.94,67.27
아마란스_빨간색_말린것,381,16.47,5.78,67.59
귀리밥_도정,218,6.51,5.36,36.54
귀리밥_쌀귀리+대양_도정,215,6.71,5.13,36.09
귀리밥_쌀귀리+조양_도정,221,6.31,5.59,36.98
찹쌀밥_보람찰_현미,181,3.55,1.25,38.41
찹쌀밥_보람찰_백미,155,2.58,0.33,33.93
멥쌀 국수_말린것을 삶은것,132,2.59,0.29,28.37
율무밥_도정,172,7.1,2.35,30.34
감자_대지_생것,67,2.01,0.04,15.08
감자_대지_삶은것,77,2.07,0.08,17.39
