레시피구분,레시피명,열량
볶음류,소고기떡잡채,열량 : 149.84 kcal
볶음류,맛불고기잡채,열량 : 229.49 kcal
볶음류,맛불고기잡채,열량 : 131.64 kcal
무침류,타이식소고기와오이샐러드,열량 : 111.55 kcal
밥류,단풍사색덮밥,열량 : 588.82 kcal
구이류,미니함박스테이크,열량 : 260.23 kcal
볶음류,떡잡채,열량 : 187.74 kcal
볶음류,소고기청경채볶음,열량 : 110.4 kcal
구이류,햄버거스테이크와김치소스,열량 : 184.87 kcal
볶음류,언양식바싹불고기,열량 : 157.16 kcal
볶음류,소고기뚝배기불고기,열량 : 259.72 kcal
볶음류,차돌박이숙주볶음,열량 : 136.31 kcal
볶음류,국물불고기,열량 : 184.91 kcal
볶음류,떡앤치즈,열량 : 13.96 kcal
구이류,불고기구이,열량 : 305.08 kcal
볶음류,소고기버섯불고기,열량 : 171.79 kcal
국류,소고기버섯전골,열량 : 87.45 kcal
밥류,소고기카레라이스,열량 : 648.88 kcal
구이류,눈꽃소고기함박스테이크,열량 : 264.52 kcal
튀김류,소고기가래떡탕수,열량 : 591.1 kcal
튀김류,소고기브로콜리탕수,열량 : 266.06 kcal
볶음류,소불고기떡볶음,열량 : 243.75 kcal
볶음류,소고기우스타소스볶음,열량 : 171.72 kcal
무침류,소고기샐러드,열량 : 144.18 kcal
국류,얼큰소고기무국,열량 : 81.64 kcal
국류,얼큰소고기무국,열량 : 81.64 kcal
볶음류,소불고기떡볶음,열량 : 243.75 kcal
국류,콩나물소고기무국,열량 : 51.8 kcal
볶음류,우삼겹청경채볶음,열량 : 168.87 kcal
볶음류,언양식바싹불고기,열량 : 256.35 kcal
국류,차돌두부된장찌개,열량 : 37.62 kcal
구이류,함박스테이크(파인애플&amp;방울토마토 토핑),열량 : 184.57 kcal
조림류,소고기우엉채조림,열량 : 101.85 kcal
조림류,소고기장조림,열량 : 78.49 kcal
구이류,떡갈비구이(수제),열량 : 211.05 kcal
밥류,소불고기브리또,열량 : 431.27 kcal
구이류,함박스테이크구이,열량 : 187.63 kcal
구이류,치즈함박스테이크,열량 : 187.63 kcal
볶음류,소고기파프리카볶음,열량 : 163.01 kcal
구이류,눈꽃치즈함박스테이크,열량 : 191.65 kcal
구이류,김치치즈함박스테이크,열량 : 236.85 kcal
구이류,체다함박스테이크,열량 : 190.73 kcal
볶음류,소고기채파프리카볶음,열량 : 107.76 kcal
밥류,브리또,열량 : 431.27 kcal
볶음류,궁중떡볶음,열량 : 136.6 kcal
밥류,소고기카레라이스,열량 : 414.62 kcal
조림류,소고기장조림,열량 : 157.58 kcal
구이류,파인애플함박스테이크,열량 : 179.73 kcal
볶음류,소고기양배추볶음,열량 : 123.03 kcal
소스류,소고기강된장,열량 : 121.43 kcal
밥류,나물비빔밥,열량 : 331.9 kcal
국류,떡국,열량 : 144.27 kcal
국류,소고기미역국,열량 : 58.23 kcal
볶음류,불고기,열량 : 176.91 kcal
볶음류,서울식불고기&amp;당면사리,열량 : 188.16 kcal
볶음류,소고기버섯볶음,열량 : 220.11 kcal
볶음류,파채소고기볶음,열량 : 304.89 kcal
빵류,뉴욕핫도그(소),열량 : 274.15 kcal
죽류,소고기채소죽,열량 : 146.71 kcal
조림류,소고기장조림,열량 : 84.42 kcal
조림류,소고기마늘장조림,열량 : 153.15 kcal
빵류,소고기반미샌드위치,열량 : 397.13 kcal
국류,설렁탕,열량 : 86.28 kcal
찜류,소고기떡찜,열량 : 106.25 kcal
국류,갈비탕/당면,열량 : 174.18 kcal
찜류,단호박사태찜,열량 : 185.3 kcal
국류,소고기달걀떡국,열량 : 222.52 kcal
국류,소고기떡국,열량 : 222.52 kcal
국류,달걀떡국,열량 : 222.52 kcal
국류,사골떡국,열량 : 214.02 kcal
면류,양지쌀국수,열량 : 238.69 kcal
국류,우거지해장국,열량 : 111.13 kcal
국류,갈비탕,열량 : 362.33 kcal
국류,제주도식해장국,열량 : 60.94 kcal
국류,갈비탕,열량 : 419.63 kcal
찜류,궁중갈비찜,열량 : 196.46 kcal
국류,버섯들깨매운탕,열량 : 96.44 kcal
국류,콩나물소고기국,열량 : 105.23 kcal
면류,쌀국수,열량 : 185.22 kcal
국류,시래기해장국,열량 : 116.66 kcal
국류,대파육개장,열량 : 181.4 kcal
볶음류,숙주우엉잡채,열량 : 36.59 kcal
튀김류,중국식어향가지볶음,열량 : 88.54 kcal
국류,경상도식소고기국,열량 : 133.36 kcal
국류,대파육개장,열량 : 97.55 kcal
국류,차돌박이육개장,열량 : 134.92 kcal
볶음류,우채표고볶음,열량 : 353.84 kcal
국류,토마소소고기스튜,열량 : 341.32 kcal
볶음류,소불고기낙지볶음,열량 : 383.39 kcal
볶음류,소고기셀러리볶음,열량 : 205.86 kcal
볶음류,알감자강정,열량 : 100.92 kcal
볶음류,소고기당면볶음,열량 : 440.47 kcal
볶음류,우불당면볶음,열량 : 404.76 kcal
구이류,소고기찹스테이크,열량 : 272.14 kcal
무침류,어린이고사리나물,열량 : 91.28 kcal
볶음류,언양식숯불불고기,열량 : 347 kcal
볶음류,소불고기당면볶음,열량 : 574.67 kcal
구이류,떡갈비구이,열량 : 112.04 kcal
볶음류,소고기버섯볶음,열량 : 120.47 kcal
국류,소고기토란탕,열량 : 106.36 kcal
밥류,단호박병아리콩카레라이스,열량 : 426.25 kcal
