레시피구분,레시피명,열량
국류,달걀실파국,열량 : 24.75 kcal
무침류,톳마요무침,열량 : 131.47 kcal
면류,멸치튀김잔치국수,열량 : 319.01 kcal
무침류,상추참나물겉절이,열량 : 33.34 kcal
조림류,미트볼양송이케첩조림,열량 : 199.8 kcal
볶음류,브로컬리새우살볶음,열량 : 90.28 kcal
부침류,봄동배추전,열량 : 48.11 kcal
튀김류,달고기강정&amp;칠리소스,열량 : 225.28 kcal
국류,아욱두부된장국,열량 : 23.24 kcal
국류,아욱부추된장국,열량 : 40.27 kcal
튀김류,고구마튀김,열량 : 137.51 kcal
보조식,콩소스채소샐러드,열량 : 85.53 kcal
무침류,도라지강정,열량 : 142.54 kcal
밥류,늘보리밥(쌀90),열량 : 364 kcal
밥류,늘보리밥(쌀80g),열량 : 327.4 kcal
구이류,마늘고추장소스삼겹살구이,열량 : 313.35 kcal
기타,모듬쌈채소&amp;쌈장,열량 : 31.95 kcal
기타,모듬채소쌈&amp;쌈장,열량 : 31.95 kcal
무침류,실곤약잡채,열량 : 62.8 kcal
보조식,잣단호박식혜,열량 : 48.63 kcal
조림류,자반고등어조림,열량 : 189.57 kcal
무침류,고사리느타리버섯들깨무침,열량 : 46.04 kcal
무침류,도라지무생채,열량 : 45.31 kcal
보조식,딸기요거트,열량 : 48.6 kcal
볶음류,만가닥버섯볶음,열량 : 34.23 kcal
볶음류,바게트샌드위치,열량 : 162.27 kcal
기타,쌀국수샐러드,열량 : 70.34 kcal
조림류,완자조림,열량 : 122.55 kcal
기타,누룽지새우샐러드,열량 : 126.09 kcal
밥류,참치생야채비빔밥,열량 : 350.93 kcal
볶음류,토마토찹스테이크,열량 : 137.99 kcal
면류,삼선자장면,열량 : 244.7 kcal
기타,어린잎샐러드,열량 : 18.24 kcal
소스류,흑임자드레싱,열량 : 6.3 kcal
국류,조랭이떡미역국,열량 : 56.86 kcal
보조식,요구르트(발효유),열량 : 84.5 kcal
보조식,"야채(파프리카,오이,양파)/쌈장",열량 : 46.45 kcal
구이류,바나나구이,열량 : 97.54 kcal
찜류,꽈리고추밀가루찜,열량 : 35.78 kcal
무침류,단감무침,열량 : 45.85 kcal
볶음류,훈제오리숙주볶음,열량 : 226.48 kcal
기타,견과류강정,열량 : 189.9 kcal
볶음류,양장피잡채,열량 : 220.39 kcal
조림류,애호박새우젓볶음,열량 : 18.11 kcal
무침류,파래무생채,열량 : 15.88 kcal
기타,홍시요구르트,열량 : 41.2 kcal
무침류,근대나물,열량 : 13.26 kcal
구이류,가지구이&amp;양념장,열량 : 29.95 kcal
찜류,단호박찜닭,열량 : 264.07 kcal
기타,방울토마토어린잎샐러드,열량 : 20.74 kcal
기타,방울토마토어린잎샐러드&amp;발사믹소스,열량 : 36.59 kcal
찜류,온두부+김치볶음,열량 : 120.1 kcal
김치류,오이물김치,열량 : 34.79 kcal
볶음류,방울토마토시금치스크램블에그,열량 : 115.52 kcal
조림류,연근견과류올리고당조림,열량 : 73.45 kcal
밥류,찹쌀밥(소),열량 : 182.4 kcal
밥류,오므라이스&amp;데미소스,열량 : 358.84 kcal
국류,어묵무국,열량 : 56.82 kcal
조림류,묵은지자반고등어조림,열량 : 248.56 kcal
조림류,단호박갈치무조림,열량 : 174.89 kcal
무침류,돌나물사과양파무침,열량 : 29.66 kcal
부침류,치즈옥수수전,열량 : 148.24 kcal
조림류,새송이돼지고기사태장조림,열량 : 142.69 kcal
국류,얼큰닭개장,열량 : 146.13 kcal
국류,사골우거지콩나물국,열량 : 119.69 kcal
국류,순두부맑은탕,열량 : 85.02 kcal
국류,유부두부된장국,열량 : 55.24 kcal
볶음류,불낙전골,열량 : 181.9 kcal
부침류,베이컨말이떡꼬치,열량 : 134.68 kcal
무침류,시금치석류샐러드,열량 : 30.77 kcal
튀김류,치즈등심돈가스&amp;소스,열량 : 148.92 kcal
무침류,비름나물된장무침,열량 : 30.55 kcal
무침류,참나물오이무침,열량 : 27.28 kcal
볶음류,깻잎순나물볶음,열량 : 46.22 kcal
튀김류,코다리아몬드강정,열량 : 268.22 kcal
무침류,새콤달콤오이동글이무침,열량 : 20.83 kcal
밥류,늘보리밥,열량 : 327.4 kcal
면류,크림파스타,열량 : 556 kcal
무침류,흑임자연근샐러드,열량 : 89.65 kcal
기타,올리브양상추샐러드&amp;발사믹소스,열량 : 34.51 kcal
무침류,닭가슴살겨자냉채,열량 : 104.51 kcal
국류,소고기배추된장국,열량 : 59.65 kcal
볶음류,미역새우자반,열량 : 167.67 kcal
국류,어묵전골,열량 : 66.05 kcal
무침류,고춧잎무말랭이무침,열량 : 57.58 kcal
보조식,영양찰떡,열량 : 89.2 kcal
국류,전주식매콤콩나물국,열량 : 41.22 kcal
무침류,톳두부무침,열량 : 70.37 kcal
국류,애호박감자된장찌개,열량 : 102.31 kcal
무침류,더덕북어채양념무침,열량 : 91.03 kcal
무침류,양장피,열량 : 100.79 kcal
기타,녹차,열량 : 19.4 kcal
무침류,캐슈너트감자샐러드,열량 : 156.8 kcal
밥류,찰밥,열량 : 292.52 kcal
구이류,고등어구이/간장겨자소스,열량 : 165.6 kcal
무침류,어린이영양부추무침,열량 : 12.17 kcal
무침류,영양부추치커리무침,열량 : 21.23 kcal
죽류,소고기장국죽,열량 : 230.3 kcal
국류,감자부추수제비국,열량 : 133.94 kcal
면류,낙지수제비,열량 : 72.66 kcal
밥류,중화풍마파두부덮밥,열량 : 321.18 kcal
죽류,발아현미호두죽,열량 : 334.48 kcal
볶음류,아몬드꽈리고추볶음,열량 : 65.34 kcal
면류,온면&amp;양념장,열량 : 304.35 kcal
튀김류,뿌리채소튀김,열량 : 279.95 kcal
구이류,방울토마토감자치즈구이,열량 : 166.26 kcal
무침류,청경채사과무침,열량 : 23.5 kcal
국류,흑미크림수프,열량 : 249.25 kcal
기타,두부김치카나페,열량 : 93.84 kcal
구이류,생강소스삼치구이,열량 : 168.22 kcal
국류,해물청국장,열량 : 96.33 kcal
볶음류,닭전골,열량 : 242.57 kcal
조림류,곤약꽈리고추조림,열량 : 24.9 kcal
볶음류,우삼겹숙주나물볶음,열량 : 164.2 kcal
찜류,연두부달걀찜,열량 : 53.64 kcal
무침류,근대나물된장무침,열량 : 29.88 kcal
무침류,치커리무침,열량 : 15.75 kcal
찜류,코다리양념찜,열량 : 224.12 kcal
부침류,도토리묵전,열량 : 85.68 kcal
볶음류,느타리버섯피망볶음,열량 : 45.79 kcal
부침류,메밀묵전병,열량 : 182.26 kcal
구이류,옥수수구이,열량 : 225.95 kcal
볶음류,오삼불고기,열량 : 273.15 kcal
보조식,복분자차,열량 : 112.6 kcal
국류,소고기우거지국,열량 : 103.89 kcal
부침류,두부참치동그랑땡,열량 : 109.29 kcal
튀김류,가자미강정,열량 : 267.44 kcal
무침류,연근흑임자샐러드,열량 : 124.32 kcal
무침류,고춧잎간장무침,열량 : 43.56 kcal
무침류,도라지마늘종고추장무침,열량 : 51.66 kcal
국류,두부바지락국,열량 : 61.76 kcal
국류,호박잎된장국,열량 : 54.07 kcal
무침류,영양부추오이무침,열량 : 34.42 kcal
무침류,건호박무침,열량 : 34.07 kcal
볶음류,어묵잡채,열량 : 110.7 kcal
국류,보리새우무국,열량 : 79.66 kcal
김치류,고들빼기,열량 : 26.4 kcal
무침류,참나물두부무침,열량 : 66.7 kcal
구이류,가지토마토치즈오븐구이,열량 : 69.78 kcal
무침류,오징어젓갈,열량 : 37.87 kcal
무침류,풋고추된장무침,열량 : 23.6 kcal
구이류,단호박달걀오븐구이(1/4),열량 : 37.5 kcal
구이류,단호박달걀치즈오븐구이,열량 : 161.02 kcal
찜류,묵은지돼지고기등갈비찜,열량 : 438.54 kcal
찜류,돼지갈비고구마찜,열량 : 284.72 kcal
찜류,매운돼지갈비찜,열량 : 295.77 kcal
찜류,딤섬,열량 : 168 kcal
보조식,그래놀라요거트,열량 : 94.75 kcal
볶음류,꽈리고추어묵볶음,열량 : 81.24 kcal
무침류,참나물생채무침,열량 : 27.96 kcal
국류,단호박꽃게탕,열량 : 85.68 kcal
볶음류,멸치견과류크랜베리볶음,열량 : 94.17 kcal
무침류,파채콩나물상추무침,열량 : 38.08 kcal
무침류,콩나물상추파채무침,열량 : 38.08 kcal
기타,무쌈(석류매실무쌈),열량 : 2.25 kcal
튀김류,장어데리야끼구이,열량 : 150.82 kcal
기타,생강채&amp;깻잎쌈,열량 : 41.63 kcal
무침류,치커리상추무침,열량 : 34.51 kcal
국류,무채콩나물국,열량 : 26.88 kcal
구이류,너비아니구이&amp;파채,열량 : 180.37 kcal
무침류,매콤콩나물무침,열량 : 39.95 kcal
기타,봄나물샐러드,열량 : 34.22 kcal
볶음류,돈육숯불파채불고기,열량 : 199.65 kcal
무침류,참나물두부들깨무침,열량 : 48.27 kcal
면류,볶음우동,열량 : 262.44 kcal
튀김류,깐쇼새우,열량 : 233.83 kcal
국류,콩나물맑은국,열량 : 17.71 kcal
보조식,검은콩우유(완),열량 : 208 kcal
보조식,백우유(완),열량 : 130 kcal
조림류,고등어김치무조림,열량 : 239.99 kcal
국류,모시조개시금치된장국,열량 : 53.52 kcal
무침류,콩나물겨자채,열량 : 57.79 kcal
볶음류,건새우마늘종볶음,열량 : 67.38 kcal
국류,북어채감자미역국,열량 : 55 kcal
밥류,검정콩밥,열량 : 414.69 kcal
밥류,표고버섯콩나물밥/,열량 : 249.87 kcal
볶음류,돼지고기폭찹,열량 : 222.76 kcal
기타,그린샐러드/허니머스터드드레싱,열량 : 28.31 kcal
무침류,오이지매실청무침,열량 : 11.2 kcal
무침류,미역오이초무침,열량 : 26.89 kcal
무침류,오이문어초무침,열량 : 37.26 kcal
빵류,치즈스크램블에그샌드위치,열량 : 325.71 kcal
죽류,전복미역죽,열량 : 305.38 kcal
기타,황도샐러드,열량 : 92.7 kcal
보조식,짜먹는 요구르트(딸기맛),열량 : 38 kcal
보조식,짜먹는 요구르트(복숭아맛),열량 : 38 kcal
보조식,짜먹는 요구르트(포도맛),열량 : 38 kcal
기타,자색고구마라떼,열량 : 102.36 kcal
국류,돼지국밥,열량 : 172.99 kcal
부침류,메밀배추전,열량 : 169.74 kcal
죽류,소고기야채죽,열량 : 281.63 kcal
빵류,슈크림빵,열량 : 192.5 kcal
부침류,동그랑땡(채소),열량 : 248.25 kcal
부침류,동그랑땡(해물),열량 : 93.45 kcal
부침류,동그랑땡(새우),열량 : 87.15 kcal
무침류,흰목이버섯겨자무침,열량 : 46.18 kcal
보조식,수리취떡,열량 : 19.2 kcal
볶음류,간장조랭이떡볶음,열량 : 190.06 kcal
조림류,간장조랭이떡조림,열량 : 190.06 kcal
무침류,천사채오이샐러드,열량 : 74.7 kcal
무침류,들기름메밀국수무침,열량 : 200.97 kcal
튀김류,느타리새송이버섯탕수육,열량 : 141.6 kcal
무침류,도라지오이유자청무침,열량 : 31.5 kcal
무침류,연근들깨소스무침,열량 : 89.88 kcal
구이류,돼지갈비구이,열량 : 240.62 kcal
무침류,상추치커리겉절이,열량 : 39.9 kcal
기타,레몬생강차,열량 : 59.8 kcal
부침류,바삭김치전,열량 : 219.35 kcal
밥류,홍미쌀밥,열량 : 303.69 kcal
찜류,두부찜,열량 : 104.85 kcal
국류,어묵쑥갓무국,열량 : 90.62 kcal
튀김류,꿔바로우 탕수육,열량 : 210 kcal
국류,가을추어탕,열량 : 74.9 kcal
국류,백짬뽕국,열량 : 59.01 kcal
볶음류,소고기가지청경채볶음,열량 : 132.76 kcal
볶음류,가지소고기청경채볶음,열량 : 102.15 kcal
기타,양파드레싱샐러드,열량 : 66.11 kcal
구이류,임연수레몬즙구이,열량 : 177.96 kcal
무침류,돌나물사과무침,열량 : 27.68 kcal
무침류,맛살미역무침,열량 : 29.33 kcal
밥류,현미찹쌀밥(쌀 90g),열량 : 365.35 kcal
밥류,현미찹쌀밥(쌀 80g),열량 : 328.75 kcal
구이류,고갈비,열량 : 164.69 kcal
볶음류,맛살미역줄기볶음,열량 : 51.21 kcal
구이류,타워함박스테이크,열량 : 234.59 kcal
국류,옥수수크림수프,열량 : 78.27 kcal
면류,까르보나라스파게티(소),열량 : 254.76 kcal
면류,까르보나라스파게티,열량 : 493.8 kcal
무침류,과일고추장소스쫄면무침,열량 : 232.42 kcal
밥류,토마토비프리조또,열량 : 484.43 kcal
무침류,느타리버섯나물,열량 : 23.73 kcal
튀김류,마찹쌀튀김,열량 : 243.67 kcal
볶음류,가지양파볶음,열량 : 29.15 kcal
기타,호떡(완),열량 : 94.2 kcal
국류,들깨감자미역국,열량 : 48.19 kcal
밥류,귀리수수밥,열량 : 352.08 kcal
기타,양상추샐러드&amp;발사믹소스,열량 : 26.84 kcal
기타,무비트고추피클,열량 : 49.66 kcal
빵류,크림치즈호두베이글,열량 : 473.79 kcal
빵류,프렌치치즈샌드위치,열량 : 249.84 kcal
소스류,부추파프리카간장양념장,열량 : 24.5 kcal
밥류,해산물토마토스프,열량 : 118.97 kcal
무침류,포도연어샐러드,열량 : 52.1 kcal
국류,참치콩나물김치찌개,열량 : 76.1 kcal
무침류,방울토마토청포묵무침,열량 : 45.93 kcal
구이류,꽁치구이,열량 : 147.08 kcal
국류,열무멸치된장찌개,열량 : 54.01 kcal
볶음류,낙지삼겹살새우볶음,열량 : 219.88 kcal
무침류,더덕무생채,열량 : 31.48 kcal
기타,리코타치즈샐러드,열량 : 135.9 kcal
무침류,꽃상추쪽파겉절이,열량 : 18.63 kcal
국류,낙지전복삼계탕,열량 : 230.77 kcal
기타,산수유차,열량 : 29.2 kcal
찜류,단호박견과류꿀찜,열량 : 90.55 kcal
면류,칼칼한 수제비,열량 : 65.36 kcal
보조식,절편버터구이,열량 : 192.25 kcal
기타,유자차,열량 : 49.2 kcal
조림류,우엉조림,열량 : 27.93 kcal
보조식,망고주스(완),열량 : 42 kcal
밥류,꼬막살야채비빔밥,열량 : 373.81 kcal
부침류,두부야채전,열량 : 65.12 kcal
튀김류,수제채소튀김,열량 : 124.95 kcal
밥류,새우초밥,열량 : 188.71 kcal
기타,양상추샐러드/ 키위바나나드레싱,열량 : 83.73 kcal
기타,과카몰리,열량 : 20.5 kcal
국류,마른새우아욱국,열량 : 59.76 kcal
기타,멕시칸샐러드,열량 : 66.45 kcal
찜류,돼지갈비찜,열량 : 240.62 kcal
국류,소고기무국,열량 : 115.26 kcal
기타,양배추샐러드&amp;요거트드레싱,열량 : 97.95 kcal
기타,자몽에이드,열량 : 22.8 kcal
국류,얼큰돼지등뼈감자탕,열량 : 73 kcal
조림류,임연수데리야끼조림,열량 : 204.82 kcal
조림류,닭감자고추장조림,열량 : 340.41 kcal
구이류,두부구이&amp;부추양념장,열량 : 135.3 kcal
볶음류,꽈리고추멸치볶음,열량 : 72.13 kcal
조림류,서리태콩자반,열량 : 82.41 kcal
국류,홍합미역국,열량 : 28.96 kcal
무침류,상추양파무침,열량 : 16.42 kcal
국류,브로콜리감자스프,열량 : 147.24 kcal
보조식,바나나곡물셰이크,열량 : 154.05 kcal
국류,감자수제비국,열량 : 124.54 kcal
밥류,기장밥(소),열량 : 157.2 kcal
무침류,방풍나물무침,열량 : 29.31 kcal
기타,누룽지땅콩샐러드,열량 : 210.63 kcal
국류,차돌박이된장찌개,열량 : 86.08 kcal
무침류,시금치무침,열량 : 38.04 kcal
국류,시금치감자수프,열량 : 120.1 kcal
조림류,일식가자미조림,열량 : 131.93 kcal
기타,홍시,열량 : 39.6 kcal
밥류,뿌리채소버섯영양밥,열량 : 359.9 kcal
무침류,토마토,열량 : 112.77 kcal
무침류,토마토겉절이,열량 : 112.77 kcal
무침류,토마토부추무침,열량 : 112.77 kcal
국류,어묵쑥갓무국,열량 : 56.82 kcal
기타,파스타샐러드,열량 : 173.06 kcal
김치류,모둠채소피클(완),열량 : 53.9 kcal
찜류,두부찜,열량 : 85.45 kcal
무침류,얼갈이겉절이,열량 : 22.88 kcal
빵류,달걀베이컨샌드위치,열량 : 231.49 kcal
볶음류,닭야채토마토구이,열량 : 77.56 kcal
보조식,오렌지주스(완),열량 : 54 kcal
기타,그린샐러드&amp;발사믹소스,열량 : 26.84 kcal
부침류,달걀두부부침,열량 : 116.61 kcal
부침류,새우부추전&amp;초간장,열량 : 83.88 kcal
무침류,시금치들깨나물,열량 : 42.22 kcal
볶음류,버섯잡채,열량 : 60.36 kcal
국류,왕만두국,열량 : 222.52 kcal
찜류,소고기감자찌개,열량 : 84.43 kcal
국류,닭곰탕/소면,열량 : 217.8 kcal
기타,황도(완),열량 : 24.3 kcal
기타,포도푸딩(완),열량 : 34.8 kcal
튀김류,야채튀김&amp;초간장,열량 : 158.76 kcal
기타,고구마라떼,열량 : 112.56 kcal
기타,국화차(완),열량 : 17.9 kcal
무침류,굴무생채,열량 : 27.51 kcal
무침류,꽃맛살메추리알샐러드,열량 : 214.55 kcal
국류,맑은두부장국,열량 : 46.11 kcal
볶음류,닭가슴살소시지볶음,열량 : 193.34 kcal
국류,게살달걀국,열량 : 56.06 kcal
조림류,우엉호두조림,열량 : 113.5 kcal
무침류,단무지채무침,열량 : 15.23 kcal
국류,꽃게된장국,열량 : 82.67 kcal
볶음류,소고기버섯볶음,열량 : 341.19 kcal
부침류,옛날소시지전&amp;케찹,열량 : 188.31 kcal
무침류,청경채양파무침,열량 : 15.85 kcal
기타,모듬쌈&amp;쌈장,열량 : 31.95 kcal
국류,차돌박이전골,열량 : 94.34 kcal
찜류,돈사태떡찜,열량 : 303.02 kcal
찜류,돼지고기떡찜,열량 : 293.76 kcal
무침류,진미채무침,열량 : 65.07 kcal
기타,양상추샐러드&amp;오리엔탈드레싱,열량 : 41.65 kcal
무침류,청양콩나물무침,열량 : 23.13 kcal
볶음류,어묵볶음,열량 : 97.52 kcal
튀김류,짜조,열량 : 144.62 kcal
국류,맑은어묵탕,열량 : 56.82 kcal
찜류,일식새우달걀찜,열량 : 82.95 kcal
보조식,저당 요구르트,열량 : 78 kcal
보조식,떠먹는 요구르트(딸기맛),열량 : 90.25 kcal
보조식,떠먹는 요구르트(블루베리),열량 : 90.25 kcal
튀김류,장어튀김&amp;데리야끼소스,열량 : 200.91 kcal
찜류,차돌박이부추숙주찜,열량 : 117.08 kcal
밥류,돼지고기부추덮밥,열량 : 458.6 kcal
국류,채소미소된장국,열량 : 39.27 kcal
밥류,중화풍볶음밥,열량 : 496.22 kcal
무침류,부추오이무침,열량 : 15.7 kcal
국류,팽이버섯맑은국,열량 : 42.86 kcal
국류,바지락시금치된장국,열량 : 50.2 kcal
기타,무비트피클,열량 : 49.11 kcal
기타,오이무피클,열량 : 47.4 kcal
국류,소고기스프,열량 : 183.9 kcal
볶음류,낙지야채볶음&amp;소면사리,열량 : 129.75 kcal
구이류,김구이,열량 : 6.96 kcal
볶음류,브로콜리맛살볶음,열량 : 62.03 kcal
국류,들깨닭곰탕,열량 : 89.35 kcal
기타,대추생강차,열량 : 64.2 kcal
밥류,새우야채볶음밥,열량 : 273.02 kcal
튀김류,치즈돈까스&amp;데미소스,열량 : 601.33 kcal
튀김류,치즈돈가스&amp;카레소스,열량 : 237.75 kcal
국류,고구마수프,열량 : 119.56 kcal
찜류,단호박옥수수범벅,열량 : 89.84 kcal
김치류,모듬피클(완),열량 : 30.8 kcal
기타,양상추샐러드&amp;키위드레싱,열량 : 23.65 kcal
국류,황태해장국,열량 : 67.89 kcal
기타,새우콘브래드,열량 : 222.73 kcal
국류,황태콩나물해장국,열량 : 73.29 kcal
찜류,브로콜리숙회&amp;초고추장,열량 : 33.9 kcal
볶음류,소고기야채볶음,열량 : 492.39 kcal
무침류,배추된장나물,열량 : 24.31 kcal
볶음류,감자채피망볶음,열량 : 61.87 kcal
무침류,오이고추장무침,열량 : 31.99 kcal
무침류,오이양파무침,열량 : 31.99 kcal
구이류,가자미구이&amp;와사비장,열량 : 130.3 kcal
볶음류,애느타리버섯볶음,열량 : 21.68 kcal
부침류,삼색달걀말이,열량 : 128.89 kcal
국류,참치김치찌개,열량 : 100.95 kcal
무침류,돌나물야채무침,열량 : 25.19 kcal
무침류,열무된장나물,열량 : 36.01 kcal
무침류,도라지고추장무침,열량 : 34.97 kcal
밥류,파인애플새우볶음밥,열량 : 367.91 kcal
무침류,풋고추된장무침,열량 : 30.05 kcal
국류,어묵매운탕,열량 : 62.74 kcal
무침류,양념고추지(완),열량 : 21.79 kcal
무침류,꽃상추겉절이,열량 : 17.16 kcal
부침류,해물파전,열량 : 132.26 kcal
밥류,곤드레나물밥,열량 : 338 kcal
밥류,혼합잡곡밥,열량 : 291.63 kcal
무침류,쑥갓나물,열량 : 15.4 kcal
국류,유부국(소),열량 : 74.64 kcal
튀김류,김부각,열량 : 91.72 kcal
부침류,달걀프라이,열량 : 86.3 kcal
빵류,크루통,열량 : 27.9 kcal
볶음류,파프리카맛살볶음,열량 : 38.12 kcal
무침류,열무나물무침,열량 : 25.78 kcal
무침류,열무나물된장무침,열량 : 25.78 kcal
볶음류,양송이버섯피망볶음,열량 : 45.79 kcal
볶음류,미니새송이버섯볶음,열량 : 34.32 kcal
무침류,세발나물,열량 : 4.9 kcal
무침류,영양부추무침,열량 : 27.6 kcal
밥류,중화풍볶음밥(소),열량 : 222.64 kcal
볶음류,고구마순들깨볶음,열량 : 18.87 kcal
기타,양상추샐러드&amp;프렌치드레싱,열량 : 93.45 kcal
국류,홍게달걀국,열량 : 75.95 kcal
부침류,두부해물완자전,열량 : 356.55 kcal
볶음류,취나물들깨볶음,열량 : 234.16 kcal
조림류,해바라기씨멸치볶음,열량 : 134.6 kcal
밥류,곤드레밥/부추파프리카양념장,열량 : 337.93 kcal
구이류,삼치유자청구이,열량 : 174.29 kcal
밥류,달걀볶음밥,열량 : 382.4 kcal
국류,얼큰짬뽕국,열량 : 64.56 kcal
빵류,꽃빵(완),열량 : 52 kcal
볶음류,미역줄기느타리볶음,열량 : 24.49 kcal
튀김류,찹쌀탕수육,열량 : 365.1 kcal
국류,유부파국,열량 : 15.27 kcal
소스류,야채탕수육소스,열량 : 48.55 kcal
찜류,단호박고구마범벅찜,열량 : 106.89 kcal
찜류,단호박고구마범벅,열량 : 182.62 kcal
튀김류,느타리버섯탕수육,열량 : 139.6 kcal
면류,쟁반짜장면,열량 : 562.46 kcal
보조식,수정과,열량 : 58.3 kcal
무침류,양파&amp;춘장,열량 : 11.37 kcal
국류,팽이버섯된장국,열량 : 42.86 kcal
부침류,모듬산적&amp;초간장.,열량 : 270.68 kcal
부침류,모듬산적(소)&amp;초간장,열량 : 180.68 kcal
기타,크랜베리샐러드,열량 : 52.3 kcal
부침류,모듬산적&amp;초간장,열량 : 270.68 kcal
소스류,블루베리드레싱,열량 : 18.75 kcal
면류,돈코츠라멘,열량 : 651.82 kcal
무침류,콩나물잡채,열량 : 75.03 kcal
튀김류,왕새우튀김&amp;타르타르소스,열량 : 397.75 kcal
찜류,날치알달걀찜,열량 : 82.25 kcal
찜류,단호박꿀찜,열량 : 89.48 kcal
무침류,해초무침,열량 : 6.91 kcal
무침류,미나리무생채,열량 : 20.72 kcal
무침류,고비나물,열량 : 17.3 kcal
무침류,오이잡채,열량 : 110.48 kcal
국류,전복살미역국,열량 : 26.43 kcal
무침류,고구마순들깨무침,열량 : 54.21 kcal
볶음류,닭야채볶음탕,열량 : 172.27 kcal
국류,꽃게탕,열량 : 80.13 kcal
국류,경상도식소고기무국,열량 : 144.22 kcal
찜류,시금치베이컨프리타타,열량 : 120.69 kcal
밥류,보리밥(쌀90g),열량 : 364 kcal
무침류,유채겉절이,열량 : 26.55 kcal
조림류,우엉해바라기씨조림,열량 : 79.08 kcal
무침류,연근들깨무침,열량 : 207.91 kcal
밥류,보리밥(쌀100g),열량 : 400.6 kcal
조림류,어슷우엉조림,열량 : 48.9 kcal
무침류,연근들깨소스무침,열량 : 148.88 kcal
국류,맑은소고기무국,열량 : 115.26 kcal
볶음류,건파래자반,열량 : 49.77 kcal
국류,가을배추된장국,열량 : 26.23 kcal
국류,모시조개맑은탕,열량 : 41.93 kcal
조림류,메추리알새태장조림,열량 : 199.47 kcal
무침류,고춧잎무침,열량 : 43.56 kcal
구이류,뱅어포양념구이,열량 : 48.23 kcal
볶음류,오리고기파채불고기,열량 : 418.84 kcal
기타,연근양상추샐러드,열량 : 90.34 kcal
무침류,도토리묵꼬막무침,열량 : 62.25 kcal
무침류,도토리묵꼬막야채무침,열량 : 67.7 kcal
무침류,오이고추된장무침,열량 : 28.25 kcal
밥류,녹두밥,열량 : 364.6 kcal
조림류,돼지고기모듬장조림,열량 : 163.4 kcal
조림류,치즈닭갈비,열량 : 423.18 kcal
부침류,어묵깻잎전&amp;초간장,열량 : 132.88 kcal
밥류,렌틸콩밥(쌀70g),열량 : 274.15 kcal
국류,얼큰버섯매운탕,열량 : 60.38 kcal
밥류,귀리밥,열량 : 367.6 kcal
부침류,호박전,열량 : 86.37 kcal
조림류,조기조림,열량 : 97.84 kcal
무침류,파무침,열량 : 23.86 kcal
무침류,치커리양파무침,열량 : 32.2 kcal
밥류,후리카케김주먹밥,열량 : 349.83 kcal
밥류,동부콩밥,열량 : 346 kcal
무침류,무말랭이미나리무침,열량 : 55.56 kcal
국류,설렁탕+소면사리,열량 : 194.75 kcal
밥류,아보카도명란비빔밥,열량 : 432.21 kcal
기타,게맛살양배추샐러드&amp;오리엔탈드레싱,열량 : 66.4 kcal
무침류,영양부추사과무침,열량 : 20.56 kcal
국류,미소팽이버섯된장국,열량 : 42.26 kcal
국류,열무된장국,열량 : 44.4 kcal
튀김류,단호박튀김,열량 : 106.04 kcal
기타,오이야채피클,열량 : 48.87 kcal
찜류,삼겹살콩나물찜,열량 : 369.09 kcal
조림류,갈치무조림,열량 : 172.21 kcal
무침류,어리굴젓무생채,열량 : 15.35 kcal
부침류,단호박옥수수전,열량 : 141.78 kcal
조림류,닭다리살데리야끼야채볶음,열량 : 123.23 kcal
조림류,닭다리살청경채데리야끼볶음,열량 : 157.27 kcal
밥류,차조현미밥,열량 : 358.3 kcal
무침류,방풍나물,열량 : 57.31 kcal
국류,고사리육개장,열량 : 67.3 kcal
구이류,삼치데리야끼구이,열량 : 128.96 kcal
무침류,시금치나물무침,열량 : 27.09 kcal
볶음류,느타리호박볶음,열량 : 16.61 kcal
국류,호박된장찌개,열량 : 40.27 kcal
볶음류,도라지호박볶음,열량 : 64.86 kcal
보조식,매실청모히또,열량 : 228.78 kcal
기타,대추방울토마토(생과),열량 : 25 kcal
볶음류,언양식불고기,열량 : 469.55 kcal
국류,시래기된장국,열량 : 15.66 kcal
찜류,봉추찜닭,열량 : 294.79 kcal
국류,김치찌개,열량 : 59.1 kcal
튀김류,삼색연근튀김&amp;초간장,열량 : 188.1 kcal
무침류,콩나물부추무침,열량 : 25.28 kcal
면류,미니어묵우동,열량 : 198.87 kcal
튀김류,파채돈가스,열량 : 230.91 kcal
보조식,메쉬드포테이토,열량 : 89.35 kcal
무침류,스틱단무지,열량 : 3.6 kcal
기타,그린샐러드/블루베리드레싱,열량 : 88.87 kcal
밥류,차조기장밥,열량 : 314.7 kcal
죽류,전복닭장각백숙,열량 : 291.89 kcal
무침류,풋고추꼴뚜기젓무침,열량 : 48.22 kcal
김치류,사과동치미,열량 : 16.2 kcal
밥류,찹쌀밥,열량 : 219 kcal
볶음류,브로콜리 감자볶음,열량 : 93.93 kcal
부침류,옥수수전,열량 : 148.46 kcal
부침류,단호박옥수수전,열량 : 154.12 kcal
보조식,무지개떡(완),열량 : 206.1 kcal
무침류,미나리무생채,열량 : 31.72 kcal
무침류,느타리브로콜리들깨무침,열량 : 43.93 kcal
국류,떡만둣국,열량 : 292.76 kcal
구이류,새송이버섯간장버터구이,열량 : 50.72 kcal
찜류,전통식 김치말이 돼지고기찜,열량 : 93.73 kcal
김치류,섞박지,열량 : 22.8 kcal
