,레시피구분,레시피명,열량
380,부침류,오징어파전(삼복),71.71
381,볶음류,견과류멸치볶음,59.44
382,볶음류,훈제오리채소볶음,113.1
383,죽류,녹두죽(삼복),92.38
384,구이류,오리훈제채소구이,95.67
385,면류,"메밀국수(온,소)-칠석",238.5
386,구이류,바싹불고기(칠석),191.71
387,국류,사골육수(그믐),14.42
388,밥류,나물비빔밥(그믐),490.07
389,조림류,오향장육,76.07
390,부침류,햄치즈달걀말이,91.73
391,밥류,밤밥(무오일),399.25
392,볶음류,셀러리오이볶음(무오일),82.44
393,찜류,돼지고기수육,103.02
394,보조식,시루떡(무오일),91.5
395,구이류,치킨스테이크,137.51
396,볶음류,무나물(무오일),35.03
397,조림류,닭다리살간장조림,100.29
398,국류,건새우무국(동지),35.05
399,튀김류,치즈볼,106.58
400,구이류,마늘떡갈비(동지),242.33
401,찜류,새우달걀찜,55.27
402,죽류,동지팥죽(동지),498.61
403,보조식,요구르트,39.0
404,밥류,찰보리밥,192.83
405,튀김류,콩고기견과류강정,85.2
406,볶음류,소불고기,119.79
407,무침류,봄동나물,16.85
408,구이류,닭다리오븐구이,84.87
409,밥류,닭고기산채비빔밥,219.34
410,튀김류,검은콩고기탕수육,273.75
411,면류,채소짬뽕,316.77
412,무침류,실곤약채소무침,19.29
413,국류,와각탕(모시조개탕),43.09
414,찜류,칠향께(닭찜),315.78
415,국류,소고기배추샤브탕,155.55
416,밥류,곤드레밥&amp;부추양념장,422.73
417,국류,우렁된장찌개,126.86
418,무침류,근대된장나물,24.8
419,부침류,늙은호박부추전,166.52
420,조림류,삼치양념조림,175.15
421,국류,콩비지찌개,120.77
422,면류,사누끼우동,202.23
423,보조식,흰우유&amp;크랜베리현미시리얼,187.8
424,무침류,참나물,21.87
425,국류,돈육짜글이찌개,221.01
426,국류,들깨감자국,111.26
427,부침류,날치알계란말이,95.31
428,구이류,삼겹살통마늘구이,239.99
429,국류,순두부백탕,97.5
430,무침류,오이지무침,27.57
431,국류,사골우거지탕,222.27
432,조림류,꽈리고추장조림,30.02
433,밥류,콩나물국밥,468.55
434,죽류,전복야채죽,371.28
435,구이류,황태구이,163.46
436,볶음류,파채불고기,293.14
437,볶음류,볼어묵조림,111.1
438,무침류,얼갈이된장나물,38.3
439,죽류,홍게죽,334.2
440,볶음류,콩불고기,210.53
441,볶음류,양송이버섯 볶음,46.13
442,국류,오징어찌개,85.39
443,무침류,맛살오이초무침,37.31
444,무침류,물파래무침,19.36
445,밥류,코코넛밀크새우그린커리,531.7
446,밥류,잡곡밥(혼합),329.7
447,무침류,가지나물,21.9
448,구이류,탄두리오븐치킨,300.18
449,무침류,깻잎순나물,56.62
450,무침류,더덕무침,69.17
451,무침류,옛날탕평채무침(중화절),101.92
452,무침류,시래기들깨무침(중화절),55.76
453,국류,호박된장찌개(중화절),40.27
454,밥류,잡곡밥(찹쌀흑미)-중화절,345.0
455,튀김류,반반치킨,280.93
456,볶음류,매콤주꾸미볶음,225.8
457,국류,양지무국,169.86
458,부침류,부추전,87.28
459,구이류,바싹불고기,180.46
460,무침류,오징어초무침,136.56
461,국류,청국장찌개,110.1
462,국류,된장찌개,88.07
463,튀김류,코다리강정,194.73
464,국류,아욱된장국,34.86
465,무침류,취나물,27.82
466,국류,부대찌개,147.14
467,국류,도토리묵채국,46.68
468,조림류,병어무조림,136.38
469,국류,짬뽕국,64.56
470,국류,시금치된장국,43.2
471,국류,영계백숙,483.86
472,국류,한우곰탕(소),127.13
473,찜류,청양풍닭찜,293.65
474,죽류,낙지김치죽,271.24
475,볶음류,소시지채소볶음,193.04
476,튀김류,도토리묵탕수육,144.45
477,보조식,골든키위주스,216.0
478,국류,양지탕,179.56
479,보조식,수제호두우유,147.2
480,국류,전복미역국,53.73
481,국류,로제부대찌개,121.65
482,튀김류,납작떡갈비버거,428.26
483,죽류,새우야채죽,364.42
484,국류,순두부찌개,117.38
485,찜류,오징어브로컬리숙회&amp;초고추장,71.15
486,국류,감자된장국,47.31
487,국류,감자탕,314.34
488,국류,달걀파국,72.19
489,국류,바지락순두부찌개,138.31
490,무침류,콜라비오징어무침,71.81
491,국류,닭개장,146.13
492,국류,미소된장국,40.66
493,면류,꼬치어묵우동,271.13
494,국류,조개순두부맑은국,53.77
495,튀김류,연근새우튀김,121.05
496,국류,어묵김치찌개,130.86
497,국류,근대된장국,83.09
498,국류,북어해장국,74.09
499,국류,소고기된장찌개,163.03
500,밥류,토마토제육덮밥,592.63
501,국류,호박명란젓찌개,63.32
502,국류,바지락미역국,31.82
503,밥류,단호박은행밥,248.31
504,면류,미나리봉골레파스타,311.62
505,무침류,귤모자반무침,91.18
506,구이류,닭다리살 스테이크,354.21
507,튀김류,베이컨치즈프라이,253.39
508,튀김류,피자돈가스,387.75
509,면류,미니홍합국수,230.73
510,보조식,초코우유,106.5
511,구이류,허브솔트 목살구이,224.41
512,튀김류,맛살야채튀김,161.52
513,볶음류,콜리플라워소고기볶음,246.56
514,면류,블랙 크림파스타,326.15
515,튀김류,바베큐 버팔로윙,222.05
516,볶음류,돼지고기춘장볶음,215.24
517,국류,토마토채소수프,55.36
518,무침류,미역오이초무침,15.23
519,조림류,호두멸치조림,132.55
520,국류,매생이떡국,154.16
521,국류,모시조개탕,10.5
522,무침류,콜라비무생채,143.93
523,밥류,톳영양밥/양념장,481.68
524,무침류,무생채,16.62
525,찜류,온두부,48.5
526,밥류,홍합밥,358.95
527,국류,조개살미역국,12.79
528,무침류,봄동배추겉절이,39.63
529,밥류,구운달걀 카레덮밥,608.03
530,볶음류,굴소스양배추볶음,34.02
531,김치류,백김치(보름),8.0
532,국류,모시조개미역국,27.28
533,무침류,황태채무말랭이무침,57.55
534,국류,황태설렁탕,77.73
535,국류,홍합살미역국,27.0
536,볶음류,청경채볶음,28.54
537,보조식,연두부&amp;흑임자드레싱,92.44
538,찜류,고기왕만두찜,218.72
539,국류,오색떡국,70.4
540,국류,매생이만두국,115.45
541,부침류,녹두전,161.31
542,찜류,오징어콩나물찜,150.88
543,구이류,참조기구이,347.4
544,조림류,뼈없는닭갈비,333.58
545,부침류,오징어김치전,286.45
546,밥류,바질새우리조또,344.75
547,볶음류,굴소스어묵채볶음,160.7
548,볶음류,새우카레볶음,391.09
