나이,성별,신장,체중,활동량계수,BMR,에너지 섭취량(Kcal),일일 칼로리 잉여/적자
57.0,2.0,164.8,57.8,1.0,1697.5860000000002,1095.0842753473914,-602.5017246526088
65.0,2.0,158.2,66.3,1.0,1673.9499999999998,1320.431595856267,-353.5184041437328
27.0,2.0,165.7,57.1,1.0,1904.8680000000002,1802.2427082098573,-102.62529179014291
63.0,2.0,158.4,66.8,1.0,1693.902,1542.4768462633454,-151.4251537366547
75.0,2.0,150.1,61.8,1.15,1754.1500999999998,1135.9593100074417,-618.1907899925582
64.0,2.0,151.3,53.7,1.46,2249.3222000000005,2158.4978079528005,-90.82439204720004
74.0,2.0,160.9,54.0,1.15,1767.2700999999997,1086.7649556553547,-680.505144344645
68.0,1.0,164.1,61.8,1.0,1882.6816,1272.58732324103,-610.09427675897
64.0,2.0,156.1,50.9,1.15,1762.9264999999996,1361.710101598887,-401.21639840111266
32.0,1.0,176.0,66.4,1.46,3285.9752000000003,3023.207194315251,-262.76800568474937
30.0,2.0,160.7,53.4,1.46,2579.7987599999997,1971.451590170145,-608.3471698298547
75.0,2.0,149.8,50.0,1.15,1624.6301999999998,1192.2517677434616,-432.3784322565382
62.0,1.0,174.0,82.1,1.0,2316.2549999999997,1613.024362160814,-703.2306378391856
39.0,2.0,157.5,63.3,1.15,2080.8387000000002,2151.4775291774813,70.63882917748106
38.0,2.0,163.8,53.3,1.0,1779.496,1347.6527667093371,-431.84323329066297
74.0,2.0,149.6,61.7,1.0,1506.268,1084.1381788446447,-422.12982115535533
69.0,1.0,163.6,57.2,1.26,2263.4053759999997,1899.950592683975,-363.45478331602476
42.0,2.0,151.3,40.7,1.0,1543.17,941.7708899830482,-601.3991100169519
21.0,1.0,179.1,67.5,1.0,2502.2185999999997,1766.745670745784,-735.4729292542156
30.0,1.0,175.5,71.0,1.46,3407.9476799999993,2691.524594362709,-716.4230856372901
56.0,2.0,156.6,56.1,1.0,1629.052,892.6025,-736.4495
48.0,2.0,168.3,60.5,1.26,2275.37388,1679.3721316954552,-596.0017483045449
58.0,2.0,167.1,66.3,1.0,1786.934,1274.4305032221532,-512.5034967778467
29.0,2.0,177.1,65.7,1.15,2339.4127,1952.8025470796613,-386.6101529203386
73.0,2.0,149.5,56.2,1.26,1879.93652,1319.5821426742737,-560.3543773257263
79.0,1.0,168.9,66.9,1.0,1884.8934000000004,1323.3323092340147,-561.5610907659857
75.0,1.0,171.7,69.8,1.0,1984.2612,1566.0705852585054,-418.1906147414945
70.0,2.0,159.4,59.5,1.15,1841.5885999999996,1602.8218689817388,-238.76673101826077
70.0,2.0,153.7,54.0,1.0,1491.6019999999996,1263.4891259622057,-228.11287403779397
24.0,1.0,178.8,73.3,1.46,3544.551388,2808.64818721884,-735.9032007811597
26.0,2.0,166.6,47.6,1.0,1829.3919999999998,1579.2148862515735,-250.17711374842634
69.0,1.0,158.1,58.3,1.15,2052.18969,1407.453807857534,-644.7358821424662
74.0,1.0,163.3,53.7,1.0,1692.3138000000004,1647.8147788696715,-44.499021130328856
70.0,2.0,153.1,67.3,1.15,1872.9490999999996,1596.3140252492149,-276.6350747507847
49.0,2.0,164.4,62.4,1.15,2059.6592,1653.4764946260916,-406.18270537390845
44.0,2.0,164.6,60.6,1.0,1812.172,1554.5901923599474,-257.5818076400526
74.0,2.0,164.8,62.7,1.0,1625.98,1028.9929074070817,-596.9870925929183
28.0,2.0,154.0,48.8,1.0,1735.328,1653.099420301317,-82.228579698683
41.0,2.0,160.6,49.8,1.26,2127.11584,1826.406943835616,-300.708896164384
67.0,1.0,173.4,75.6,1.0,2161.9524,1536.9442225074558,-625.0081774925443
63.0,2.0,158.9,68.0,1.0,1708.7640000000001,1537.1573101114393,-171.60668988856082
24.0,2.0,164.4,51.3,1.26,2297.03712,2063.617010061082,-233.4201099389179
27.0,2.0,152.5,45.8,1.0,1703.2679999999998,1368.8063671673044,-334.4616328326954
75.0,1.0,163.9,65.3,1.0,1870.5774000000001,1833.9678711057147,-36.609528894285404
73.0,2.0,151.3,64.5,1.0,1551.7279999999998,1425.8806299956775,-125.84737000432233
49.0,1.0,174.5,68.1,1.0,2220.103,2166.287983204894,-53.8150167951062
47.0,2.0,154.6,56.7,1.0,1682.338,1465.7174923019631,-216.62050769803682
42.0,2.0,149.6,62.2,1.0,1732.068,1332.068738095238,-399.9992619047621
42.0,1.0,180.7,81.0,1.15,2865.0722800000003,2555.4890591118387,-309.5832208881616
45.0,2.0,163.5,50.4,1.15,1950.6170999999997,1570.93409930035,-379.6830006996497
41.0,2.0,160.4,54.8,1.15,1999.7367999999997,1716.69607328432,-283.04072671567974
40.0,1.0,175.5,75.9,1.15,2758.55205,2627.210803860645,-131.341246139355
71.0,2.0,162.3,61.4,1.15,1879.3422999999998,1344.4750517735413,-534.8672482264585
41.0,2.0,158.0,49.5,1.0,1681.09,1278.7802523895605,-402.30974761043944
62.0,1.0,177.7,70.4,1.0,2150.0732,1802.099528400314,-347.97367159968576
60.0,2.0,164.8,54.1,1.15,1897.6475999999998,1327.0802609271789,-570.5673390728209
26.0,2.0,161.7,52.5,1.0,1839.6819999999996,1710.2035,-129.47849999999949
77.0,1.0,178.4,62.1,1.15,2171.44601,1923.61120507009,-247.8348049299102
23.0,2.0,163.4,51.5,1.0,1863.394,1557.2035260852126,-306.1904739147874
23.0,2.0,167.4,54.4,1.15,2178.2542,1653.9837599859234,-524.2704400140765
57.0,1.0,179.8,74.7,1.15,2601.26947,2638.478597749038,37.209127749037634
58.0,2.0,156.5,64.7,1.0,1695.0020000000002,1372.8227123484226,-322.1792876515776
58.0,2.0,162.6,62.4,1.0,1717.76,1630.049913647392,-87.71008635260796
71.0,2.0,157.3,50.9,1.0,1481.812,1225.4189992236638,-256.39300077633607
63.0,1.0,170.4,67.9,1.0,2061.3774,1622.5287611261483,-438.84863887385154
55.0,1.0,165.9,67.2,1.0,2102.1984,2171.103390441026,68.9049904410258
63.0,1.0,173.0,50.2,1.0,1793.8000000000002,1787.851237023656,-5.948762976344142
72.0,1.0,169.1,81.4,1.0,2183.3776000000003,2013.963822955979,-169.41377704402134
53.0,2.0,159.9,55.8,1.15,1923.4062999999996,1325.849096542514,-597.5572034574857
63.0,2.0,153.9,52.9,1.0,1531.1280000000002,1454.2265542758853,-76.90144572411486
30.0,1.0,190.0,108.3,1.0,3124.3929999999996,2978.3131950036704,-146.07980499632913
25.0,2.0,166.8,97.1,1.15,2619.0476,2490.898818514876,-128.1487814851239
25.0,1.0,172.8,66.7,1.15,2716.41967,2588.704675647913,-127.71499435208716
47.0,1.0,170.5,76.2,1.15,2666.304,1928.8376306903235,-737.4663693096766
44.0,2.0,163.9,57.2,1.0,1775.266,1588.624545607511,-186.6414543924891
35.0,2.0,153.5,46.5,1.15,1894.2474999999997,1893.7993707501623,-0.4481292498373932
53.0,2.0,152.8,48.0,1.0,1546.378,882.7099962470256,-663.6680037529743
68.0,1.0,169.9,68.5,1.0,2020.5754000000002,1902.8182566019643,-117.75714339803585
43.0,1.0,173.3,86.4,1.46,3624.4461679999995,3521.5053199842782,-102.94084801572126
26.0,2.0,159.3,42.3,1.0,1726.7859999999998,1587.0589558751713,-139.72704412482858
78.0,2.0,145.0,39.3,1.15,1448.6501999999998,1273.422179163217,-175.2280208367829
48.0,2.0,157.2,53.8,1.0,1667.1599999999999,1336.438895497143,-330.72110450285686
63.0,2.0,151.1,58.2,1.0,1560.408,1013.852219862783,-546.5557801372169
50.0,2.0,151.7,56.3,1.15,1881.0564999999997,1917.608091405843,36.55159140584328
68.0,2.0,150.7,66.4,1.0,1599.7059999999997,1320.4364320793766,-279.2695679206231
68.0,1.0,168.3,62.6,1.15,2203.68972,1494.264007071826,-709.4257129281739
30.0,1.0,172.9,56.6,1.0,2209.5744,2169.8758874945665,-39.69851250543343
37.0,2.0,160.1,60.8,1.0,1829.744,1357.1395281646633,-472.60447183533665
31.0,2.0,171.5,51.3,1.26,2313.6150799999996,2269.0965842181104,-44.518495781889214
46.0,2.0,167.8,57.4,1.15,2054.9558,1365.8703224457054,-689.0854775542948
80.0,2.0,145.8,48.2,1.0,1310.8600000000001,1172.2663087176925,-138.59369128230765
78.0,1.0,174.3,56.6,1.15,2035.8431199999998,1421.4080216431605,-614.4350983568393
79.0,2.0,145.8,52.3,1.15,1588.3514,1013.042721463106,-575.308678536894
72.0,2.0,155.4,60.2,1.15,1801.9073999999998,1136.6236514525324,-665.2837485474674
73.0,2.0,147.1,64.0,1.0,1516.5559999999998,841.3049444787468,-675.251055521253
51.0,1.0,172.0,67.2,1.0,2173.2340000000004,1497.6151952878365,-675.6188047121639
80.0,2.0,148.9,51.9,1.15,1603.0176999999996,1369.7042888342205,-233.31341116577914
80.0,1.0,157.1,47.4,1.15,1741.72244,1542.241478881669,-199.48096111833092
80.0,2.0,143.3,44.2,1.15,1473.3804999999998,1231.1201798900656,-242.26032010993413
59.0,2.0,149.9,47.6,1.0,1480.1200000000001,1134.4852285139757,-345.6347714860244
53.0,2.0,155.7,83.1,1.0,1895.9679999999998,1477.1971613780497,-418.77083862195013
29.0,2.0,164.0,47.7,1.0,1790.7219999999998,1205.8897089946706,-584.8322910053291
75.0,1.0,167.8,67.2,1.15,2218.04092,1683.0494857634556,-534.9914342365444
74.0,1.0,164.5,51.5,1.0,1663.7870000000003,1073.4184388399478,-590.3685611600524
74.0,2.0,160.1,62.9,1.15,1856.3904999999995,1825.3692439886963,-31.021256011303194
78.0,1.0,174.5,54.5,1.0,1727.3570000000002,1302.025489536488,-425.33151046351213
51.0,1.0,178.2,85.4,1.0,2496.2512000000006,2350.804491697608,-145.44670830239284
44.0,2.0,167.3,54.0,1.0,1769.998,1418.0324895037647,-351.9655104962353
67.0,1.0,161.6,58.3,1.0,1823.0366,1838.318818975068,15.28221897506819
24.0,2.0,151.8,50.9,1.46,2492.75832,2204.446850154654,-288.311469845346
29.0,2.0,158.2,45.9,1.46,2457.71776,2269.480288062183,-188.2374719378172
74.0,1.0,161.3,52.2,1.0,1657.6568000000002,1145.7918517234525,-511.8649482765477
43.0,1.0,167.9,70.9,1.0,2286.2174,1899.2535603008128,-386.96383969918725
60.0,2.0,156.3,63.3,1.15,1925.7098999999998,1923.8191959441608,-1.8907040558390236
62.0,2.0,160.4,66.8,1.0,1715.3319999999999,1392.5774265956047,-322.75457340439516
67.0,2.0,148.2,59.0,1.0,1519.2019999999998,1460.9169724472931,-58.28502755270665
80.0,1.0,157.0,64.9,1.0,1779.3310000000001,1392.5905315781436,-386.7404684218566
64.0,1.0,168.0,71.8,1.15,2408.2758999999996,1743.230145174156,-665.0457548258437
68.0,1.0,165.5,62.0,1.15,2175.3367,2184.729928262403,9.393228262403227
36.0,1.0,174.3,78.2,1.0,2503.6048,2062.2244979457164,-441.3803020542837
57.0,1.0,177.6,77.5,1.0,2310.1446,2235.5893374009024,-74.55526259909766
58.0,2.0,158.9,46.2,1.15,1777.1729,1828.435439038157,51.262539038157
68.0,1.0,163.4,49.0,1.0,1675.2564000000002,1404.2972607872823,-270.9591392127179
73.0,2.0,148.9,50.8,1.15,1639.5472999999997,1051.434773260337,-588.1125267396628
22.0,1.0,182.8,68.1,1.0,2522.1998000000003,1891.6522950475849,-630.5475049524155
76.0,1.0,170.4,70.8,1.0,1983.6263999999999,1741.3538598491562,-242.27254015084372
61.0,1.0,158.4,61.8,1.0,1918.6344,1755.5590720697787,-163.0753279302212
46.0,2.0,172.8,73.7,1.0,1980.5,1655.718893805654,-324.78110619434597
35.0,1.0,173.8,96.9,1.0,2807.9538000000002,2550.036217263485,-257.9175827365152
69.0,2.0,163.1,51.9,1.0,1547.1,1282.0866842023863,-265.0133157976136
65.0,2.0,156.0,49.0,1.0,1496.0499999999997,1315.3922611709074,-180.6577388290923
69.0,1.0,176.1,84.3,1.0,2295.8786,2316.9085713645827,21.029971364582707
66.0,1.0,171.9,75.0,1.15,2471.9657599999996,1897.329601189751,-574.6361588102486
47.0,2.0,163.2,51.7,1.15,1948.2855999999997,1407.2639993383157,-541.021600661684
71.0,2.0,163.8,73.2,1.0,1737.73,1376.3624661898027,-361.3675338101973
35.0,2.0,162.2,59.6,1.0,1847.578,1573.740002394994,-273.83799760500597
27.0,2.0,155.3,49.1,1.46,2484.52884,2100.44232921,-384.0865107899999
29.0,1.0,171.4,67.0,1.46,3292.262824,2572.930771301045,-719.3320526989551
28.0,2.0,166.2,61.1,1.15,2205.8041999999996,1623.4865651528671,-582.3176348471325
42.0,2.0,159.3,45.9,1.26,2062.31892,2098.67681819192,36.35789819191996
47.0,1.0,182.3,82.6,1.15,2856.62532,2180.6189915059704,-676.0063284940297
45.0,2.0,170.9,69.6,1.0,1935.2399999999998,1962.1683198857304,26.928319885730616
76.0,2.0,150.1,58.9,1.15,1716.0244999999995,1287.4440820003492,-428.5804179996503
78.0,2.0,147.0,47.7,1.15,1555.7658,1300.510022085679,-255.2557779143208
56.0,2.0,162.3,57.7,1.15,1943.1654999999996,1928.7195732199384,-14.4459267800612
74.0,1.0,170.8,71.4,1.0,2014.3908000000006,1778.6564282391805,-235.73437176082007
42.0,2.0,162.2,53.8,1.0,1744.9199999999998,1170.4840188685762,-574.4359811314237
72.0,2.0,151.1,47.7,1.0,1399.9379999999999,1253.0812098213464,-146.85679017865345
54.0,2.0,161.5,60.1,1.0,1715.886,1479.67819359568,-236.20780640431985
59.0,2.0,158.5,55.7,1.0,1618.3719999999998,1001.1649314203715,-617.2070685796283
65.0,2.0,155.6,48.3,1.0,1486.5939999999998,1415.2689880000005,-71.32501199999933
50.0,1.0,176.1,67.1,1.0,2203.2966,1791.552293170841,-411.7443068291591
21.0,2.0,167.9,56.4,1.15,2217.7767,1556.605299229006,-661.1714007709938
69.0,2.0,153.9,59.5,1.15,1802.5790999999997,1174.9739523518165,-627.6051476481832
64.0,2.0,150.9,52.0,1.0,1494.0140000000001,1365.743352460384,-128.27064753961622
71.0,2.0,149.9,56.1,1.0,1476.7600000000002,1197.6770395554015,-279.0829604445987
41.0,2.0,159.7,69.6,1.0,1881.5679999999998,1575.7978814459468,-305.77011855405294
76.0,2.0,151.3,48.6,1.0,1382.174,1341.549431834373,-40.6245681656269
55.0,2.0,160.4,63.6,1.0,1733.7499999999998,1480.5370184886192,-253.21298151138058
50.0,2.0,160.9,60.1,1.0,1739.17,1818.6346897670128,79.46468976701271
68.0,1.0,168.2,67.7,1.15,2296.3813299999997,2318.079977855887,21.69864785588743
64.0,2.0,150.8,53.6,1.0,1508.264,1389.3551251232557,-118.90887487674422
19.0,1.0,180.8,89.3,1.0,2877.2898,2372.9088416589,-504.3809583410998
49.0,2.0,163.4,80.3,1.0,1953.3020000000001,1798.4324435832266,-154.86955641677355
65.0,2.0,150.9,56.1,1.0,1525.48,905.6060378146276,-619.8739621853724
65.0,2.0,158.8,61.3,1.0,1631.5059999999999,1092.2409445910118,-539.265055408988
61.0,1.0,168.7,58.0,1.15,2188.71798,1955.2603113432976,-233.45766865670225
63.0,2.0,160.6,48.9,1.15,1785.8789999999997,1871.630951643748,85.75195164374827
78.0,1.0,166.2,46.0,1.0,1547.3352,829.8366249999997,-717.4985750000003
66.0,1.0,167.9,60.7,1.0,1904.7454000000002,1282.8039345691427,-621.9414654308575
60.0,1.0,167.6,66.7,1.15,2350.60159,2287.0265536465768,-63.57503635342346
80.0,2.0,144.3,47.0,1.0,1288.738,1011.4146216701243,-277.3233783298757
40.0,2.0,152.2,48.9,1.46,2359.1069599999996,1771.1434614576012,-587.9634985423984
69.0,1.0,173.8,65.6,1.0,1985.9508,1601.73856644185,-384.21223355815005
66.0,2.0,153.2,46.4,1.0,1444.476,1348.6824523357943,-95.79354766420579
76.0,2.0,146.8,53.7,1.0,1397.2400000000002,808.1280920372137,-589.1119079627865
50.0,2.0,163.2,61.6,1.0,1769.908,1276.9598597329557,-492.9481402670442
77.0,2.0,162.0,50.7,1.0,1472.6019999999999,1083.8569032310827,-388.74509676891716
27.0,1.0,182.0,86.3,1.26,3372.1223,2666.495181264667,-705.6271187353332
45.0,2.0,162.7,50.0,1.0,1692.2519999999997,1196.5978215660484,-495.6541784339513
73.0,1.0,172.4,81.5,1.0,2193.2454,2189.99458780341,-3.250812196589777
72.0,2.0,149.5,49.3,1.0,1403.2979999999998,782.8639048555218,-620.434095144478
78.0,2.0,156.5,73.7,1.0,1641.042,1056.7230490707736,-584.3189509292263
23.0,1.0,172.6,59.3,1.26,2805.073876,2799.8488363867723,-5.225039613227636
67.0,1.0,169.3,70.3,1.0,2055.5058,2005.2053633856276,-50.3004366143723
63.0,2.0,163.5,49.6,1.0,1569.9360000000001,880.956,-688.9800000000001
66.0,2.0,162.6,61.4,1.0,1653.12,1234.7043762709086,-418.4156237290913
75.0,1.0,163.9,75.0,1.0,2024.9044,1637.5791141029642,-387.32528589703566
